Event;SetupID;DecisionTime;StepFrom;StepTo;Direction;Bid;Ask;SpreadPoints;ATR;ATRPct100;ATRRegime;ADX;DIPlus;DIMinus;RSI;MACDHist;EMA200DistATR;EMA200Slope5ATR;FloatingPnLNoCost;OpenPositions;BasketBE;Session;OpenHour;Mode;Rule;FillPrice;FillTime
P;967;2017.01.25 12:05:44;1;2;SELL;1205.53;1205.80;27.4;0.38;0.031314;1.2479;35.6673;36.2329;11.5149;73.5687;0.077984;3.5435;0.021514;-2.01;2;0.00;Overlap;12;0;M0;0.00;
F;967;2017.01.25 12:05:44;1;2;SELL;1205.53;1205.80;27.4;0.38;0.031314;1.2479;35.6673;36.2329;11.5149;73.5687;0.077984;3.5435;0.021514;-2.01;2;1205.30;Overlap;12;0;M0;1205.53;2017.01.25 12:05:44
A;967;2017.01.25 12:22:30;2;3;SELL;1207.71;1207.94;23.2;0.53;0.044133;0.8902;39.6000;29.4988;7.8927;74.3898;0.144823;5.9930;0.048938;-8.43;2;1205.30;Overlap;12;0;NONE;0.00;
P;967;2017.01.25 12:22:30;2;3;SELL;1207.71;1207.94;23.2;0.53;0.044133;0.8902;39.6000;29.4988;7.8927;74.3898;0.144823;5.9930;0.048938;-9.13;3;1205.30;Overlap;12;0;M0;0.00;
F;967;2017.01.25 12:22:30;2;3;SELL;1207.71;1207.94;23.2;0.53;0.044133;0.8902;39.6000;29.4988;7.8927;74.3898;0.144823;5.9930;0.048938;-9.13;3;1206.62;Overlap;12;0;M0;1207.71;2017.01.25 12:22:30
A;968;2017.01.25 13:17:00;0;1;BUY;1204.34;1204.58;24.3;0.25;0.020696;0.7564;23.9864;24.8136;18.6582;39.3150;0.024508;-2.3958;-0.030741;0.00;0;0.00;Overlap;13;0;NONE;0.00;
A;968;2017.01.25 13:39:14;1;2;BUY;1203.05;1203.27;22.0;0.39;0.032438;0.9873;34.6348;6.8851;32.2689;25.1464;-0.152809;-4.4335;-0.032780;-1.53;1;0.00;Overlap;13;0;NONE;0.00;
P;968;2017.01.25 13:39:14;1;2;BUY;1203.05;1203.27;22.0;0.39;0.032438;0.9873;34.6348;6.8851;32.2689;25.1464;-0.152809;-4.4335;-0.032780;-1.97;2;0.00;Overlap;13;0;M0;0.00;
F;968;2017.01.25 13:39:14;1;2;BUY;1203.05;1203.27;22.0;0.39;0.032438;0.9873;34.6348;6.8851;32.2689;25.1464;-0.152809;-4.4335;-0.032780;-1.97;2;1203.57;Overlap;13;0;M0;1203.27;2017.01.25 13:39:14
A;968;2017.01.25 14:03:52;2;3;BUY;1200.78;1201.02;24.3;0.81;0.067123;3.6347;32.4939;10.9335;43.2677;18.5871;-0.234972;-4.4684;-0.028749;-8.78;2;1203.57;Overlap;14;0;NONE;0.00;
P;968;2017.01.25 14:03:52;2;3;BUY;1200.78;1201.02;24.3;0.81;0.067123;3.6347;32.4939;10.9335;43.2677;18.5871;-0.234972;-4.4684;-0.028749;-9.51;3;1203.57;Overlap;14;0;M0;0.00;
F;968;2017.01.25 14:03:52;2;3;BUY;1200.78;1201.02;24.3;0.81;0.067123;3.6347;32.4939;10.9335;43.2677;18.5871;-0.234972;-4.4684;-0.028749;-9.51;3;1202.18;Overlap;14;0;M0;1201.02;2017.01.25 14:03:52
A;968;2017.01.25 14:20:33;3;4;BUY;1196.93;1197.19;26.3;0.81;0.067297;0.9048;65.5302;2.5863;34.7564;9.5324;-0.386504;-8.4235;-0.069991;-32.61;3;1202.18;Overlap;14;0;NONE;0.00;
P;968;2017.01.25 14:20:33;3;4;BUY;1196.93;1197.19;26.3;0.81;0.067297;0.9048;65.5302;2.5863;34.7564;9.5324;-0.386504;-8.4235;-0.069991;-33.66;4;1202.18;Overlap;14;0;M0;0.00;
F;968;2017.01.25 14:20:33;3;4;BUY;1196.93;1197.19;26.3;0.81;0.067297;0.9048;65.5302;2.5863;34.7564;9.5324;-0.386504;-8.4235;-0.069991;-33.66;4;1200.10;Overlap;14;0;M0;1197.19;2017.01.25 14:20:33
A;969;2017.01.25 21:48:00;0;1;SELL;1200.25;1200.47;22.1;0.13;0.010664;0.7304;37.5182;7.6638;31.8241;40.0155;-0.070660;5.8862;0.069226;0.00;0;0.00;Unknown;21;0;NONE;0.00;
A;969;2017.01.25 21:59:04;1;2;SELL;1199.02;1201.29;226.8;0.48;0.040262;2.2324;43.9384;13.9154;31.9506;29.6119;-0.049953;-1.0348;0.003439;-1.04;1;0.00;Unknown;21;0;NONE;0.00;
P;969;2017.01.25 21:59:04;1;2;SELL;1199.02;1201.29;226.8;0.48;0.040262;2.2324;43.9384;13.9154;31.9506;29.6119;-0.049953;-1.0348;0.003439;-5.58;2;0.00;Unknown;21;0;M0;0.00;
F;969;2017.01.25 21:59:04;1;2;SELL;1199.02;1201.29;226.8;0.48;0.040262;2.2324;43.9384;13.9154;31.9506;29.6119;-0.049953;-1.0348;0.003439;-5.58;2;1200.84;Unknown;21;0;M0;1199.02;2017.01.25 21:59:04
A;970;2017.01.26 19:00:00;0;1;SELL;1189.75;1190.00;25.3;0.87;0.073188;2.2399;19.2274;26.5905;11.2454;82.7738;0.183834;2.5388;0.000297;0.00;0;0.00;NewYork;19;0;NONE;0.00;
A;971;2017.01.27 00:58:00;0;1;BUY;1187.32;1187.62;30.4;0.21;0.017708;1.0036;21.6856;22.2323;12.3591;47.8661;0.032864;-3.5213;-0.040305;0.00;0;0.00;Asia;0;0;NONE;0.00;
A;971;2017.01.27 01:12:59;1;2;BUY;1185.77;1186.07;30.0;0.50;0.041766;1.6093;23.2261;13.3773;40.2226;29.9076;-0.112265;-4.3238;-0.024509;-1.85;1;0.00;Asia;1;0;NONE;0.00;
P;971;2017.01.27 01:12:59;1;2;BUY;1185.77;1186.07;30.0;0.50;0.041766;1.6093;23.2261;13.3773;40.2226;29.9076;-0.112265;-4.3238;-0.024509;-2.45;2;0.00;Asia;1;0;M0;0.00;
F;971;2017.01.27 01:12:59;1;2;BUY;1185.77;1186.07;30.0;0.50;0.041766;1.6093;23.2261;13.3773;40.2226;29.9076;-0.112265;-4.3238;-0.024509;-2.45;2;1186.38;Asia;1;0;M0;1186.07;2017.01.27 01:12:59
A;971;2017.01.27 05:08:18;2;3;BUY;1183.00;1183.26;26.3;0.24;0.020140;1.5224;32.8916;11.1523;44.8133;26.1754;-0.091167;-9.5502;-0.078311;-10.77;2;1186.38;Asia;5;0;NONE;0.00;
P;971;2017.01.27 05:08:18;2;3;BUY;1183.00;1183.26;26.3;0.24;0.020140;1.5224;32.8916;11.1523;44.8133;26.1754;-0.091167;-9.5502;-0.078311;-11.56;3;1186.38;Asia;5;0;M0;0.00;
F;971;2017.01.27 05:08:18;2;3;BUY;1183.00;1183.26;26.3;0.24;0.020140;1.5224;32.8916;11.1523;44.8133;26.1754;-0.091167;-9.5502;-0.078311;-11.56;3;1184.69;Asia;5;0;M0;1183.26;2017.01.27 05:08:18
A;972;2017.01.27 12:20:00;0;1;BUY;1183.96;1184.20;24.4;0.28;0.023840;0.7374;31.4966;16.9496;18.7897;46.8726;0.057265;-0.5793;-0.016335;0.00;0;0.00;Overlap;12;0;NONE;0.00;
A;972;2017.01.27 12:50:56;1;2;BUY;1182.47;1182.75;28.4;0.41;0.034694;1.5688;21.6431;15.5599;41.0898;26.1919;-0.106227;-3.8136;-0.020202;-1.73;1;0.00;Overlap;12;0;NONE;0.00;
P;972;2017.01.27 12:50:56;1;2;BUY;1182.47;1182.75;28.4;0.41;0.034694;1.5688;21.6431;15.5599;41.0898;26.1919;-0.106227;-3.8136;-0.020202;-2.30;2;0.00;Overlap;12;0;M0;0.00;
F;972;2017.01.27 12:50:56;1;2;BUY;1182.47;1182.75;28.4;0.41;0.034694;1.5688;21.6431;15.5599;41.0898;26.1919;-0.106227;-3.8136;-0.020202;-2.30;2;1183.06;Overlap;12;0;M0;1182.75;2017.01.27 12:50:56
A;973;2017.01.27 15:43:00;0;1;SELL;1186.71;1186.97;26.4;0.39;0.032969;0.6233;17.7654;16.2316;17.0761;52.7538;0.003774;4.1010;0.050294;0.00;0;0.00;Overlap;15;0;NONE;0.00;
A;973;2017.01.27 16:08:45;1;2;SELL;1189.29;1189.53;24.0;0.60;0.050303;0.8546;16.9826;29.4310;15.9049;65.1168;0.081115;5.9580;0.047914;-2.82;1;0.00;NewYork;16;0;NONE;0.00;
P;973;2017.01.27 16:08:45;1;2;SELL;1189.29;1189.53;24.0;0.60;0.050303;0.8546;16.9826;29.4310;15.9049;65.1168;0.081115;5.9580;0.047914;-3.30;2;0.00;NewYork;16;0;M0;0.00;
F;973;2017.01.27 16:08:45;1;2;SELL;1189.29;1189.53;24.0;0.60;0.050303;0.8546;16.9826;29.4310;15.9049;65.1168;0.081115;5.9580;0.047914;-3.30;2;1188.58;NewYork;16;0;M0;1189.29;2017.01.27 16:08:45
A;974;2017.01.29 23:47:03;0;1;SELL;1193.85;1194.09;24.4;0.27;0.022658;1.6030;36.5255;18.8135;12.9902;52.5889;-0.054735;9.1173;0.103326;0.00;0;0.00;Asia;23;0;NONE;0.00;
A;974;2017.01.30 01:30:20;1;2;SELL;1195.27;1195.55;28.3;0.23;0.019556;1.0000;50.8813;42.2396;3.6436;73.9066;0.103965;9.4515;0.083920;-1.70;1;0.00;Asia;1;0;NONE;0.00;
P;974;2017.01.30 01:30:20;1;2;SELL;1195.27;1195.55;28.3;0.23;0.019556;1.0000;50.8813;42.2396;3.6436;73.9066;0.103965;9.4515;0.083920;-2.27;2;0.00;Asia;1;0;M0;0.00;
F;974;2017.01.30 01:30:20;1;2;SELL;1195.27;1195.55;28.3;0.23;0.019556;1.0000;50.8813;42.2396;3.6436;73.9066;0.103965;9.4515;0.083920;-2.27;2;1194.98;Asia;1;0;M0;1195.27;2017.01.30 01:30:20
A;975;2017.01.30 12:29:01;0;1;BUY;1190.25;1190.50;25.3;0.11;0.009053;0.3293;33.2488;8.9417;17.4177;44.3656;-0.027905;-2.8866;-0.034171;0.00;0;0.00;Overlap;12;0;NONE;0.00;
A;976;2017.01.31 11:15:00;0;1;SELL;1198.20;1198.45;25.4;0.20;0.016629;1.1039;18.5696;11.3681;16.7600;54.7834;-0.054717;-4.0424;-0.037906;0.00;0;0.00;London;11;0;NONE;0.00;
A;976;2017.01.31 11:40:11;1;2;SELL;1199.34;1199.60;26.3;0.35;0.029329;1.9221;58.8345;37.3033;4.1693;76.6666;0.132437;1.5503;-0.000239;-1.40;1;0.00;London;11;0;NONE;0.00;
P;976;2017.01.31 11:40:11;1;2;SELL;1199.34;1199.60;26.3;0.35;0.029329;1.9221;58.8345;37.3033;4.1693;76.6666;0.132437;1.5503;-0.000239;-1.93;2;0.00;London;11;0;M0;0.00;
F;976;2017.01.31 11:40:11;1;2;SELL;1199.34;1199.60;26.3;0.35;0.029329;1.9221;58.8345;37.3033;4.1693;76.6666;0.132437;1.5503;-0.000239;-1.93;2;1199.11;London;11;0;M0;1199.34;2017.01.31 11:40:11
A;976;2017.01.31 11:55:33;2;3;SELL;1201.87;1202.15;28.3;0.55;0.045928;1.4909;62.3824;48.9808;4.1182;83.5591;0.206442;5.2809;0.034571;-9.58;2;1199.11;London;11;0;NONE;0.00;
P;976;2017.01.31 11:55:33;2;3;SELL;1201.87;1202.15;28.3;0.55;0.045928;1.4909;62.3824;48.9808;4.1182;83.5591;0.206442;5.2809;0.034571;-10.43;3;1199.11;London;11;0;M0;0.00;
F;976;2017.01.31 11:55:33;2;3;SELL;1201.87;1202.15;28.3;0.55;0.045928;1.4909;62.3824;48.9808;4.1182;83.5591;0.206442;5.2809;0.034571;-10.43;3;1200.37;London;11;0;M0;1201.87;2017.01.31 11:55:33
A;976;2017.01.31 12:00:14;3;4;SELL;1205.01;1205.11;10.0;0.95;0.078900;1.3946;75.4338;46.7613;2.0136;88.6140;0.475622;6.1503;0.042815;-28.17;3;1200.37;Overlap;12;0;NONE;0.00;
P;976;2017.01.31 12:00:14;3;4;SELL;1205.01;1205.11;10.0;0.95;0.078900;1.3946;75.4338;46.7613;2.0136;88.6140;0.475622;6.1503;0.042815;-28.57;4;1200.37;Overlap;12;0;M0;0.00;
F;976;2017.01.31 12:00:14;3;4;SELL;1205.01;1205.11;10.0;0.95;0.078900;1.3946;75.4338;46.7613;2.0136;88.6140;0.475622;6.1503;0.042815;-28.57;4;1202.25;Overlap;12;0;M0;1205.01;2017.01.31 12:00:14
A;976;2017.01.31 14:27:51;4;5;SELL;1208.58;1208.68;10.0;0.82;0.067724;2.0074;39.8049;43.7761;8.4241;78.4686;0.253866;5.9309;0.044797;-64.30;4;1202.25;Overlap;14;0;NONE;0.00;
P;976;2017.01.31 14:27:51;4;5;SELL;1208.58;1208.68;10.0;0.82;0.067724;2.0074;39.8049;43.7761;8.4241;78.4686;0.253866;5.9309;0.044797;-64.80;5;1202.25;Overlap;14;0;M0;0.00;
F;976;2017.01.31 14:27:51;4;5;SELL;1208.58;1208.68;10.0;0.82;0.067724;2.0074;39.8049;43.7761;8.4241;78.4686;0.253866;5.9309;0.044797;-64.80;5;1205.06;Overlap;14;0;M0;1208.58;2017.01.31 14:27:51
A;977;2017.02.03 05:33:00;0;1;BUY;1213.70;1213.94;24.3;0.29;0.024120;1.1249;14.8787;20.6359;15.6494;52.4558;-0.011050;0.8924;0.005326;0.00;0;0.00;Asia;5;0;NONE;0.00;
A;977;2017.02.03 11:45:45;1;2;BUY;1211.98;1212.19;21.3;0.29;0.024196;1.8919;35.3005;9.7893;38.2494;19.8355;-0.146872;-4.8873;-0.028695;-1.96;1;0.00;London;11;0;NONE;0.00;
P;977;2017.02.03 11:45:45;1;2;BUY;1211.98;1212.19;21.3;0.29;0.024196;1.8919;35.3005;9.7893;38.2494;19.8355;-0.146872;-4.8873;-0.028695;-2.39;2;0.00;London;11;0;M0;0.00;
F;977;2017.02.03 11:45:45;1;2;BUY;1211.98;1212.19;21.3;0.29;0.024196;1.8919;35.3005;9.7893;38.2494;19.8355;-0.146872;-4.8873;-0.028695;-2.39;2;1212.72;London;11;0;M0;1212.19;2017.02.03 11:45:45
A;977;2017.02.03 13:30:01;2;3;BUY;1208.99;1210.02;103.0;0.87;0.071754;2.0655;23.4391;14.5243;33.5758;18.3647;-0.217004;-4.2541;-0.026911;-11.35;2;1212.72;Overlap;13;0;NONE;0.00;
P;977;2017.02.03 13:30:01;2;3;BUY;1208.99;1210.02;103.0;0.87;0.071754;2.0655;23.4391;14.5243;33.5758;18.3647;-0.217004;-4.2541;-0.026911;-14.44;3;1212.72;Overlap;13;0;M0;0.00;
F;977;2017.02.03 13:30:01;2;3;BUY;1208.99;1210.02;103.0;0.87;0.071754;2.0655;23.4391;14.5243;33.5758;18.3647;-0.217004;-4.2541;-0.026911;-14.44;3;1211.04;Overlap;13;0;M0;1210.02;2017.02.03 13:30:01
A;978;2017.02.06 15:17:00;0;1;BUY;1226.53;1226.77;24.3;0.26;0.021565;0.6961;25.0580;9.5020;12.3431;41.5913;0.060911;-0.5894;-0.012795;0.00;0;0.00;Overlap;15;0;NONE;0.00;
A;979;2017.02.07 09:42:00;0;1;BUY;1229.21;1229.46;25.0;0.25;0.020379;0.7303;35.3708;10.5065;15.1081;40.7580;0.102879;-11.7288;-0.123168;0.00;0;0.00;London;9;0;NONE;0.00;
A;979;2017.02.07 13:28:59;1;2;BUY;1227.69;1227.88;19.1;0.56;0.045268;1.0000;32.3174;10.3228;32.8503;25.1762;-0.287849;-4.5045;-0.030167;-1.77;1;0.00;Overlap;13;0;NONE;0.00;
P;979;2017.02.07 13:28:59;1;2;BUY;1227.69;1227.88;19.1;0.56;0.045268;1.0000;32.3174;10.3228;32.8503;25.1762;-0.287849;-4.5045;-0.030167;-2.15;2;0.00;Overlap;13;0;M0;0.00;
F;979;2017.02.07 13:28:59;1;2;BUY;1227.69;1227.88;19.1;0.56;0.045268;1.0000;32.3174;10.3228;32.8503;25.1762;-0.287849;-4.5045;-0.030167;-2.15;2;1228.31;Overlap;13;0;M0;1227.88;2017.02.07 13:28:59
A;980;2017.02.07 19:28:00;0;1;BUY;1233.77;1234.05;28.2;0.16;0.012705;0.4718;28.8972;17.5778;19.4869;46.1816;0.047661;5.1720;0.048324;0.00;0;0.00;NewYork;19;0;NONE;0.00;
A;980;2017.02.07 19:58:04;1;2;BUY;1232.93;1233.21;28.2;0.26;0.020906;1.2129;34.6351;10.6818;23.9842;33.6131;-0.021918;-0.5517;0.002975;-1.12;1;0.00;NewYork;19;0;NONE;0.00;
P;980;2017.02.07 19:58:04;1;2;BUY;1232.93;1233.21;28.2;0.26;0.020906;1.2129;34.6351;10.6818;23.9842;33.6131;-0.021918;-0.5517;0.002975;-1.68;2;0.00;NewYork;19;0;M0;0.00;
F;980;2017.02.07 19:58:04;1;2;BUY;1232.93;1233.21;28.2;0.26;0.020906;1.2129;34.6351;10.6818;23.9842;33.6131;-0.021918;-0.5517;0.002975;-1.68;2;1233.30;NewYork;19;0;M0;1233.21;2017.02.07 19:58:04
A;980;2017.02.08 01:00:37;2;3;BUY;1231.25;1231.56;31.4;0.35;0.028650;1.3413;18.8395;15.4255;31.4184;23.8822;-0.058018;-4.7833;-0.030650;-9.13;2;1233.30;Asia;1;0;NONE;0.00;
P;980;2017.02.08 01:00:37;2;3;BUY;1231.25;1231.56;31.4;0.35;0.028650;1.3413;18.8395;15.4255;31.4184;23.8822;-0.058018;-4.7833;-0.030650;-10.07;3;1233.30;Asia;1;0;M0;0.00;
F;980;2017.02.08 01:00:37;2;3;BUY;1231.25;1231.56;31.4;0.35;0.028650;1.3413;18.8395;15.4255;31.4184;23.8822;-0.058018;-4.7833;-0.030650;-10.07;3;1232.27;Asia;1;0;M0;1231.56;2017.02.08 01:00:37
A;981;2017.02.08 01:28:00;0;1;BUY;1233.48;1233.72;24.1;0.33;0.026713;0.9428;50.9223;30.5479;4.3927;72.9471;0.168043;2.3339;0.014160;0.00;0;0.00;Asia;1;0;NONE;0.00;
A;981;2017.02.08 06:41:54;1;2;BUY;1231.96;1232.24;28.4;0.28;0.022485;1.9750;49.2868;4.7061;37.2830;18.1250;-0.102964;-4.5601;-0.034564;-1.76;1;0.00;Asia;6;0;NONE;0.00;
P;981;2017.02.08 06:41:54;1;2;BUY;1231.96;1232.24;28.4;0.28;0.022485;1.9750;49.2868;4.7061;37.2830;18.1250;-0.102964;-4.5601;-0.034564;-2.33;2;0.00;Asia;6;0;M0;0.00;
F;981;2017.02.08 06:41:54;1;2;BUY;1231.96;1232.24;28.4;0.28;0.022485;1.9750;49.2868;4.7061;37.2830;18.1250;-0.102964;-4.5601;-0.034564;-2.33;2;1232.55;Asia;6;0;M0;1232.24;2017.02.08 06:41:54
A;982;2017.02.08 15:36:00;0;1;BUY;1242.38;1242.61;23.0;0.57;0.046262;1.7808;21.5306;22.7242;11.9265;62.0617;0.186115;4.3582;0.033276;0.00;0;0.00;Overlap;15;0;NONE;0.00;
A;982;2017.02.08 18:17:44;1;2;BUY;1238.94;1239.22;28.4;0.71;0.057348;1.4042;26.4084;10.4146;36.4486;23.8790;-0.193941;-3.0639;-0.014985;-3.67;1;0.00;NewYork;18;0;NONE;0.00;
P;982;2017.02.08 18:17:44;1;2;BUY;1238.94;1239.22;28.4;0.71;0.057348;1.4042;26.4084;10.4146;36.4486;23.8790;-0.193941;-3.0639;-0.014985;-4.24;2;0.00;NewYork;18;0;M0;0.00;
F;982;2017.02.08 18:17:44;1;2;BUY;1238.94;1239.22;28.4;0.71;0.057348;1.4042;26.4084;10.4146;36.4486;23.8790;-0.193941;-3.0639;-0.014985;-4.24;2;1240.20;NewYork;18;0;M0;1239.22;2017.02.08 18:17:44
A;983;2017.02.09 05:48:00;0;1;BUY;1240.88;1241.16;28.2;0.21;0.017044;0.9559;31.1308;23.7009;10.4242;53.4349;0.054862;-0.2139;-0.009208;0.00;0;0.00;Asia;5;0;NONE;0.00;
A;983;2017.02.09 06:40:15;1;2;BUY;1239.90;1240.18;28.2;0.18;0.014739;0.6995;58.0347;2.7635;31.0316;23.2742;-0.125482;-5.4117;-0.047632;-1.26;1;0.00;Asia;6;0;NONE;0.00;
P;983;2017.02.09 06:40:15;1;2;BUY;1239.90;1240.18;28.2;0.18;0.014739;0.6995;58.0347;2.7635;31.0316;23.2742;-0.125482;-5.4117;-0.047632;-1.82;2;0.00;Asia;6;0;M0;0.00;
F;983;2017.02.09 06:40:15;1;2;BUY;1239.90;1240.18;28.2;0.18;0.014739;0.6995;58.0347;2.7635;31.0316;23.2742;-0.125482;-5.4117;-0.047632;-1.82;2;1240.33;Asia;6;0;M0;1240.18;2017.02.09 06:40:15
A;984;2017.02.09 10:35:03;0;1;BUY;1241.57;1241.84;27.1;0.24;0.018988;0.7350;14.8769;17.3903;13.9808;42.6401;-0.021738;-0.8066;-0.012238;0.00;0;0.00;London;10;0;NONE;0.00;
A;984;2017.02.09 11:17:50;1;2;BUY;1240.07;1240.35;28.4;0.37;0.030180;1.1815;39.4025;8.5891;36.2372;17.3293;-0.174060;-4.3892;-0.028444;-1.77;1;0.00;London;11;0;NONE;0.00;
P;984;2017.02.09 11:17:50;1;2;BUY;1240.07;1240.35;28.4;0.37;0.030180;1.1815;39.4025;8.5891;36.2372;17.3293;-0.174060;-4.3892;-0.028444;-2.34;2;0.00;London;11;0;M0;0.00;
F;984;2017.02.09 11:17:50;1;2;BUY;1240.07;1240.35;28.4;0.37;0.030180;1.1815;39.4025;8.5891;36.2372;17.3293;-0.174060;-4.3892;-0.028444;-2.34;2;1240.66;London;11;0;M0;1240.35;2017.02.09 11:17:50
A;984;2017.02.09 11:35:03;2;3;BUY;1237.35;1237.62;26.9;0.44;0.035701;0.5644;49.8720;11.5716;38.6886;15.6240;-0.179062;-8.8924;-0.078039;-10.49;2;1240.66;London;11;0;NONE;0.00;
P;984;2017.02.09 11:35:03;2;3;BUY;1237.35;1237.62;26.9;0.44;0.035701;0.5644;49.8720;11.5716;38.6886;15.6240;-0.179062;-8.8924;-0.078039;-11.30;3;1240.66;London;11;0;M0;0.00;
F;984;2017.02.09 11:35:03;2;3;BUY;1237.35;1237.62;26.9;0.44;0.035701;0.5644;49.8720;11.5716;38.6886;15.6240;-0.179062;-8.8924;-0.078039;-11.30;3;1239.04;London;11;0;M0;1237.62;2017.02.09 11:35:03
A;985;2017.02.10 09:31:00;0;1;SELL;1224.91;1225.17;26.3;0.29;0.023655;0.8411;21.2069;16.8775;21.1402;46.5942;-0.040854;2.8021;0.037748;0.00;0;0.00;London;9;0;NONE;0.00;
A;985;2017.02.10 10:44:00;1;2;SELL;1226.37;1226.59;21.9;0.28;0.022791;0.8026;23.8066;40.9077;17.8040;72.0487;0.058960;5.9855;0.049146;-1.68;1;0.00;London;10;0;NONE;0.00;
P;985;2017.02.10 10:44:00;1;2;SELL;1226.37;1226.59;21.9;0.28;0.022791;0.8026;23.8066;40.9077;17.8040;72.0487;0.058960;5.9855;0.049146;-2.12;2;0.00;London;10;0;M0;0.00;
F;985;2017.02.10 10:44:00;1;2;SELL;1226.37;1226.59;21.9;0.28;0.022791;0.8026;23.8066;40.9077;17.8040;72.0487;0.058960;5.9855;0.049146;-2.12;2;1226.02;London;10;0;M0;1226.37;2017.02.10 10:44:00
A;985;2017.02.10 15:00:04;2;3;SELL;1228.63;1229.14;51.1;1.14;0.092400;3.9487;28.7854;20.6254;26.1570;71.2274;0.174694;2.6159;0.005316;-9.78;2;1226.02;Overlap;15;0;NONE;0.00;
P;985;2017.02.10 15:00:04;2;3;SELL;1228.63;1229.14;51.1;1.14;0.092400;3.9487;28.7854;20.6254;26.1570;71.2274;0.174694;2.6159;0.005316;-11.31;3;1226.02;Overlap;15;0;M0;0.00;
F;985;2017.02.10 15:00:04;2;3;SELL;1228.63;1229.14;51.1;1.14;0.092400;3.9487;28.7854;20.6254;26.1570;71.2274;0.174694;2.6159;0.005316;-11.31;3;1227.55;Overlap;15;0;M0;1228.63;2017.02.10 15:00:04
A;985;2017.02.10 16:27:44;3;4;SELL;1233.04;1233.28;24.4;0.76;0.061758;1.6403;45.8559;29.8105;7.5689;73.8806;0.158156;5.7394;0.045562;-36.15;3;1227.55;NewYork;16;0;NONE;0.00;
P;985;2017.02.10 16:27:44;3;4;SELL;1233.04;1233.28;24.4;0.76;0.061758;1.6403;45.8559;29.8105;7.5689;73.8806;0.158156;5.7394;0.045562;-37.13;4;1227.55;NewYork;16;0;M0;0.00;
F;985;2017.02.10 16:27:44;3;4;SELL;1233.04;1233.28;24.4;0.76;0.061758;1.6403;45.8559;29.8105;7.5689;73.8806;0.158156;5.7394;0.045562;-37.13;4;1229.84;NewYork;16;0;M0;1233.04;2017.02.10 16:27:44
A;986;2017.02.13 11:23:00;0;1;SELL;1230.44;1230.69;25.3;0.18;0.014284;0.5278;23.6632;13.3540;23.4765;48.7304;-0.049514;1.3848;0.017885;0.00;0;0.00;London;11;0;NONE;0.00;
A;987;2017.02.13 16:13:00;0;1;SELL;1222.76;1222.98;22.0;0.24;0.019464;0.8158;29.5813;11.7419;14.8432;52.8729;-0.107769;-9.6303;-0.088246;0.00;0;0.00;NewYork;16;0;NONE;0.00;
A;987;2017.02.13 18:00:28;1;2;SELL;1224.08;1224.35;27.0;0.35;0.028858;1.5665;26.9789;40.2460;11.4173;72.9172;0.152672;-0.4745;-0.018405;-1.59;1;0.00;NewYork;18;0;NONE;0.00;
P;987;2017.02.13 18:00:28;1;2;SELL;1224.08;1224.35;27.0;0.35;0.028858;1.5665;26.9789;40.2460;11.4173;72.9172;0.152672;-0.4745;-0.018405;-2.13;2;0.00;NewYork;18;0;M0;0.00;
F;987;2017.02.13 18:00:28;1;2;SELL;1224.08;1224.35;27.0;0.35;0.028858;1.5665;26.9789;40.2460;11.4173;72.9172;0.152672;-0.4745;-0.018405;-2.13;2;1223.81;NewYork;18;0;M0;1224.08;2017.02.13 18:00:28
A;987;2017.02.13 18:52:29;2;3;SELL;1226.47;1226.71;24.4;0.30;0.024175;1.3855;45.9795;31.7227;7.4879;69.2777;0.006617;6.5456;0.052443;-9.21;2;1223.81;NewYork;18;0;NONE;0.00;
P;987;2017.02.13 18:52:29;2;3;SELL;1226.47;1226.71;24.4;0.30;0.024175;1.3855;45.9795;31.7227;7.4879;69.2777;0.006617;6.5456;0.052443;-9.94;3;1223.81;NewYork;18;0;M0;0.00;
F;987;2017.02.13 18:52:29;2;3;SELL;1226.47;1226.71;24.4;0.30;0.024175;1.3855;45.9795;31.7227;7.4879;69.2777;0.006617;6.5456;0.052443;-9.94;3;1225.26;NewYork;18;0;M0;1226.47;2017.02.13 18:52:29
A;987;2017.02.14 12:36:09;3;4;SELL;1230.03;1231.12;109.0;0.28;0.022987;1.1880;29.4134;30.6879;9.3961;64.4317;0.052401;3.7587;0.026876;-36.15;3;1225.26;Overlap;12;0;NONE;0.00;
P;987;2017.02.14 12:36:09;3;4;SELL;1230.03;1231.12;109.0;0.28;0.022987;1.1880;29.4134;30.6879;9.3961;64.4317;0.052401;3.7587;0.026876;-40.51;4;1225.26;Overlap;12;0;M0;0.00;
F;987;2017.02.14 12:36:09;3;4;SELL;1230.03;1231.12;109.0;0.28;0.022987;1.1880;29.4134;30.6879;9.3961;64.4317;0.052401;3.7587;0.026876;-40.51;4;1227.42;Overlap;12;0;M0;1230.03;2017.02.14 12:36:09
A;987;2017.02.14 13:25:40;4;5;SELL;1234.38;1234.66;28.0;0.59;0.048142;0.8634;25.5001;33.5451;14.4689;68.5788;0.190120;6.8815;0.057202;-75.91;4;1227.42;Overlap;13;0;NONE;0.00;
P;987;2017.02.14 13:25:40;4;5;SELL;1234.38;1234.66;28.0;0.59;0.048142;0.8634;25.5001;33.5451;14.4689;68.5788;0.190120;6.8815;0.057202;-77.31;5;1227.42;Overlap;13;0;M0;0.00;
