Event;SetupID;DecisionTime;StepFrom;StepTo;Direction;Bid;Ask;SpreadPoints;ATR;ATRPct100;ATRRegime;ADX;DIPlus;DIMinus;RSI;MACDHist;EMA200DistATR;EMA200Slope5ATR;FloatingPnLNoCost;OpenPositions;BasketBE;Session;OpenHour;Mode;Rule;FillPrice;FillTime
F;9;2014.01.13 06:34:58;1;2;BUY;1249.44;1249.84;39.5;0.64;0.051043;2.0876;60.6012;3.6787;43.0483;17.9112;-0.214152;-2.1813;-0.006358;-3.24;2;1250.31;Asia;6;0;M0;1249.84;2014.01.13 06:34:58
A;9;2014.01.13 09:11:40;2;3;BUY;1245.96;1246.36;39.3;0.42;0.033669;2.0564;46.4737;6.4167;48.7759;21.5168;-0.176390;-7.2329;-0.054267;-13.66;2;1250.31;London;9;0;NONE;0.00;
P;9;2014.01.13 09:11:40;2;3;BUY;1245.96;1246.36;39.3;0.42;0.033669;2.0564;46.4737;6.4167;48.7759;21.5168;-0.176390;-7.2329;-0.054267;-14.84;3;1250.31;London;9;0;M0;0.00;
F;9;2014.01.13 09:11:40;2;3;BUY;1245.96;1246.36;39.3;0.42;0.033669;2.0564;46.4737;6.4167;48.7759;21.5168;-0.176390;-7.2329;-0.054267;-14.84;3;1248.15;London;9;0;M0;1246.36;2014.01.13 09:11:40
A;10;2014.01.15 16:12:00;0;1;SELL;1241.24;1241.56;32.1;0.52;0.041652;1.0788;22.6563;18.1286;20.0871;55.8366;-0.141351;5.6730;0.065075;0.00;0;0.00;NewYork;16;0;NONE;0.00;
A;11;2014.01.16 12:39:00;0;1;SELL;1238.94;1239.28;33.8;0.27;0.021995;1.9746;33.4531;20.1491;26.5190;55.3189;0.009692;3.2724;0.042524;0.00;0;0.00;Overlap;12;0;NONE;0.00;
A;11;2014.01.16 13:33:29;1;2;SELL;1241.08;1241.42;33.3;1.62;0.130692;3.7309;16.8723;24.2026;15.4410;67.5798;0.243050;1.7556;0.011664;-2.48;1;0.00;Overlap;13;0;NONE;0.00;
P;11;2014.01.16 13:33:29;1;2;SELL;1241.08;1241.42;33.3;1.62;0.130692;3.7309;16.8723;24.2026;15.4410;67.5798;0.243050;1.7556;0.011664;-3.15;2;0.00;Overlap;13;0;M0;0.00;
F;11;2014.01.16 13:33:29;1;2;SELL;1241.08;1241.42;33.3;1.62;0.130692;3.7309;16.8723;24.2026;15.4410;67.5798;0.243050;1.7556;0.011664;-3.15;2;1240.56;Overlap;13;0;M0;1241.08;2014.01.16 13:33:29
A;11;2014.01.16 14:03:00;2;3;SELL;1243.81;1245.19;137.9;0.80;0.064439;1.7405;35.1149;44.8418;7.1399;77.8173;0.280207;6.0012;0.041609;-14.46;2;1240.56;Overlap;14;0;NONE;0.00;
