Direction,TF,Feature,Outcome,N_total,N_complete,N_missing,N_zero,Median,Q1,Q3,IQR,Min,Max
BUY,M1,EMA200,BE,282,282,0,0,1326.130000,1245.892500,1812.890000,566.997500,1067.010000,5202.950000
BUY,M1,EMA200,OTHER_NONSTOP,1,1,0,0,4393.620000,4393.620000,4393.620000,0.000000,4393.620000,4393.620000
BUY,M1,EMA200DistATR,STOP,75,75,0,0,-0.583000,-3.146906,1.120008,4.266914,-15.453311,7.285303
BUY,M1,EMA200DistATR,NON-STOP,3538,3538,0,0,-1.620472,-4.167400,0.753438,4.920838,-41.770908,21.663578
BUY,M1,EMA200DistATR,TARGET,3255,3255,0,0,-1.614569,-4.126388,0.742800,4.869187,-41.770908,19.487601
BUY,M1,EMA200DistATR,BE,282,282,0,0,-1.701660,-4.830270,0.940958,5.771228,-27.261342,21.663578
BUY,M1,EMA200DistATR,OTHER_NONSTOP,1,1,0,0,0.277125,0.277125,0.277125,0.000000,0.277125,0.277125
BUY,M1,RSISlope5,STOP,75,75,0,0,1.602936,0.830666,2.296664,1.465997,-0.888443,7.706349
BUY,M1,RSISlope5,NON-STOP,3538,3538,0,0,1.720190,0.916500,2.600162,1.683662,-6.029628,10.851236
BUY,M1,RSISlope5,TARGET,3255,3255,0,0,1.730379,0.922102,2.614049,1.691946,-6.029628,10.851236
BUY,M1,RSISlope5,BE,282,282,0,0,1.650390,0.799702,2.373918,1.574217,-3.390595,5.984959
BUY,M1,RSISlope5,OTHER_NONSTOP,1,1,0,0,0.882660,0.882660,0.882660,0.000000,0.882660,0.882660
BUY,M1,CCISlope5,STOP,75,75,0,0,21.250204,14.410829,30.915302,16.504472,-25.557934,106.147097
BUY,M1,CCISlope5,NON-STOP,3538,3538,0,0,22.218248,11.432062,35.298684,23.866622,-57.067351,108.138791
BUY,M1,CCISlope5,TARGET,3255,3255,0,0,22.185982,11.501174,35.271502,23.770329,-57.067351,108.138791
BUY,M1,CCISlope5,BE,282,282,0,0,22.725368,10.736183,35.544552,24.808368,-42.927454,87.986649
BUY,M1,CCISlope5,OTHER_NONSTOP,1,1,0,0,6.144092,6.144092,6.144092,0.000000,6.144092,6.144092
BUY,M1,ADXSlope5,STOP,75,75,0,0,-0.680769,-1.454161,0.086981,1.541142,-2.849357,2.258768
BUY,M1,ADXSlope5,NON-STOP,3538,3538,0,0,-0.548640,-1.346867,0.229688,1.576555,-5.500564,5.065950
BUY,M1,ADXSlope5,TARGET,3255,3255,0,0,-0.548797,-1.339966,0.236486,1.576452,-5.352699,5.065950
BUY,M1,ADXSlope5,BE,282,282,0,0,-0.515956,-1.501916,0.149436,1.651352,-5.500564,4.966002
BUY,M1,ADXSlope5,OTHER_NONSTOP,1,1,0,0,-1.267222,-1.267222,-1.267222,0.000000,-1.267222,-1.267222
BUY,M1,ATRRegime,STOP,75,75,0,0,1.067860,0.834315,1.491087,0.656772,0.355080,6.600719
BUY,M1,ATRRegime,NON-STOP,3538,3538,0,0,1.059399,0.813518,1.405440,0.591922,0.041503,14.526531
BUY,M1,ATRRegime,TARGET,3255,3255,0,0,1.066440,0.822017,1.412564,0.590546,0.041503,14.526531
BUY,M1,ATRRegime,BE,282,282,0,0,0.961983,0.744643,1.326530,0.581886,0.159521,6.568627
BUY,M1,ATRRegime,OTHER_NONSTOP,1,1,0,0,2.769953,2.769953,2.769953,0.000000,2.769953,2.769953
BUY,M1,EMA20Slope5ATR,STOP,75,75,0,0,-0.087737,-0.125753,-0.023622,0.102132,-0.527479,0.291710
BUY,M1,EMA20Slope5ATR,NON-STOP,3538,3538,0,0,-0.086960,-0.144640,-0.038054,0.106585,-1.164425,0.887685
BUY,M1,EMA20Slope5ATR,TARGET,3255,3255,0,0,-0.087221,-0.143075,-0.039218,0.103856,-1.164425,0.887685
BUY,M1,EMA20Slope5ATR,BE,282,282,0,0,-0.084787,-0.163829,-0.028506,0.135323,-0.824261,0.631388
BUY,M1,EMA20Slope5ATR,OTHER_NONSTOP,1,1,0,0,-0.020899,-0.020899,-0.020899,0.000000,-0.020899,-0.020899
