Direction,TF,Feature,Outcome,Value,N_total,N_complete,N_missing,Count,Pct_of_all_group,Pct_of_nonmissing
BUY,M15,EMAOrder,OTHER_NONSTOP,E20>E50>E100>E200,1,1,0,0,0.000000,0.000000
BUY,M15,EMAOrder,OTHER_NONSTOP,E20>E50>E200>E100,1,1,0,0,0.000000,0.000000
BUY,M15,EMAOrder,OTHER_NONSTOP,E50>E100>E200>E20,1,1,0,0,0.000000,0.000000
BUY,M15,EMAOrder,OTHER_NONSTOP,E50>E100>E20>E200,1,1,0,0,0.000000,0.000000
BUY,M15,EMAOrder,OTHER_NONSTOP,E50>E200>E100>E20,1,1,0,0,0.000000,0.000000
BUY,M15,EMAOrder,OTHER_NONSTOP,E50>E200>E20>E100,1,1,0,0,0.000000,0.000000
BUY,M15,EMAOrder,OTHER_NONSTOP,E50>E20>E100>E200,1,1,0,0,0.000000,0.000000
BUY,M15,EMAOrder,OTHER_NONSTOP,E50>E20>E200>E100,1,1,0,0,0.000000,0.000000
BUY,M15,EMAOrder,OTHER_NONSTOP,[MISSING],1,1,0,0,0.000000,
BUY,M15,TrendRegime,STOP,DOWN,75,75,0,18,24.000000,24.000000
BUY,M15,TrendRegime,STOP,RANGE,75,75,0,31,41.333333,41.333333
BUY,M15,TrendRegime,STOP,UP,75,75,0,26,34.666667,34.666667
BUY,M15,TrendRegime,STOP,[MISSING],75,75,0,0,0.000000,
BUY,M15,TrendRegime,NON-STOP,DOWN,3538,3535,3,865,24.448841,24.469590
BUY,M15,TrendRegime,NON-STOP,RANGE,3538,3535,3,1282,36.235161,36.265912
BUY,M15,TrendRegime,NON-STOP,UP,3538,3535,3,1388,39.231204,39.264498
BUY,M15,TrendRegime,NON-STOP,[MISSING],3538,3535,3,3,0.084794,
BUY,M15,TrendRegime,TARGET,DOWN,3255,3252,3,786,24.147465,24.169742
BUY,M15,TrendRegime,TARGET,RANGE,3255,3252,3,1177,36.159754,36.193112
BUY,M15,TrendRegime,TARGET,UP,3255,3252,3,1289,39.600614,39.637146
BUY,M15,TrendRegime,TARGET,[MISSING],3255,3252,3,3,0.092166,
BUY,M15,TrendRegime,BE,DOWN,282,282,0,79,28.014184,28.014184
BUY,M15,TrendRegime,BE,RANGE,282,282,0,104,36.879433,36.879433
BUY,M15,TrendRegime,BE,UP,282,282,0,99,35.106383,35.106383
BUY,M15,TrendRegime,BE,[MISSING],282,282,0,0,0.000000,
BUY,M15,TrendRegime,OTHER_NONSTOP,DOWN,1,1,0,0,0.000000,0.000000
BUY,M15,TrendRegime,OTHER_NONSTOP,RANGE,1,1,0,1,100.000000,100.000000
BUY,M15,TrendRegime,OTHER_NONSTOP,UP,1,1,0,0,0.000000,0.000000
BUY,M15,TrendRegime,OTHER_NONSTOP,[MISSING],1,1,0,0,0.000000,
BUY,M15,PriceAboveEMA200,STOP,0,75,75,0,38,50.666667,50.666667
BUY,M15,PriceAboveEMA200,STOP,1,75,75,0,37,49.333333,49.333333
BUY,M15,PriceAboveEMA200,STOP,[MISSING],75,75,0,0,0.000000,
BUY,M15,PriceAboveEMA200,NON-STOP,0,3538,3535,3,1679,47.456190,47.496464
BUY,M15,PriceAboveEMA200,NON-STOP,1,3538,3535,3,1856,52.459016,52.503536
BUY,M15,PriceAboveEMA200,NON-STOP,[MISSING],3538,3535,3,3,0.084794,
BUY,M15,PriceAboveEMA200,TARGET,0,3255,3252,3,1533,47.096774,47.140221
BUY,M15,PriceAboveEMA200,TARGET,1,3255,3252,3,1719,52.811060,52.859779
BUY,M15,PriceAboveEMA200,TARGET,[MISSING],3255,3252,3,3,0.092166,
BUY,M15,PriceAboveEMA200,BE,0,282,282,0,145,51.418440,51.418440
BUY,M15,PriceAboveEMA200,BE,1,282,282,0,137,48.581560,48.581560
BUY,M15,PriceAboveEMA200,BE,[MISSING],282,282,0,0,0.000000,
BUY,M15,PriceAboveEMA200,OTHER_NONSTOP,0,1,1,0,1,100.000000,100.000000
BUY,M15,PriceAboveEMA200,OTHER_NONSTOP,1,1,1,0,0,0.000000,0.000000
BUY,M15,PriceAboveEMA200,OTHER_NONSTOP,[MISSING],1,1,0,0,0.000000,
BUY,M30,DIStatus,STOP,+,75,75,0,32,42.666667,42.666667
BUY,M30,DIStatus,STOP,-,75,75,0,43,57.333333,57.333333
BUY,M30,DIStatus,STOP,[MISSING],75,75,0,0,0.000000,
BUY,M30,DIStatus,NON-STOP,+,3538,3534,4,1759,49.717354,49.773628
BUY,M30,DIStatus,NON-STOP,-,3538,3534,4,1775,50.169587,50.226372
BUY,M30,DIStatus,NON-STOP,[MISSING],3538,3534,4,4,0.113058,
BUY,M30,DIStatus,TARGET,+,3255,3252,3,1630,50.076805,50.123001
BUY,M30,DIStatus,TARGET,-,3255,3252,3,1622,49.831029,49.876999
BUY,M30,DIStatus,TARGET,[MISSING],3255,3252,3,3,0.092166,
BUY,M30,DIStatus,BE,+,282,281,1,128,45.390071,45.551601
BUY,M30,DIStatus,BE,-,282,281,1,153,54.255319,54.448399
BUY,M30,DIStatus,BE,[MISSING],282,281,1,1,0.354610,
BUY,M30,DIStatus,OTHER_NONSTOP,+,1,1,0,1,100.000000,100.000000
BUY,M30,DIStatus,OTHER_NONSTOP,-,1,1,0,0,0.000000,0.000000
BUY,M30,DIStatus,OTHER_NONSTOP,[MISSING],1,1,0,0,0.000000,
BUY,M30,EMAOrder,STOP,E100>E200>E20>E50,75,75,0,1,1.333333,1.333333
BUY,M30,EMAOrder,STOP,E100>E200>E50>E20,75,75,0,1,1.333333,1.333333
BUY,M30,EMAOrder,STOP,E100>E20>E200>E50,75,75,0,0,0.000000,0.000000
BUY,M30,EMAOrder,STOP,E100>E20>E50>E200,75,75,0,1,1.333333,1.333333
BUY,M30,EMAOrder,STOP,E100>E50>E200>E20,75,75,0,2,2.666667,2.666667
BUY,M30,EMAOrder,STOP,E100>E50>E20>E200,75,75,0,0,0.000000,0.000000
BUY,M30,EMAOrder,STOP,E200>E100>E20>E50,75,75,0,3,4.000000,4.000000
BUY,M30,EMAOrder,STOP,E200>E100>E50>E20,75,75,0,20,26.666667,26.666667
BUY,M30,EMAOrder,STOP,E200>E20>E100>E50,75,75,0,3,4.000000,4.000000
BUY,M30,EMAOrder,STOP,E200>E20>E50>E100,75,75,0,0,0.000000,0.000000
BUY,M30,EMAOrder,STOP,E200>E50>E100>E20,75,75,0,1,1.333333,1.333333
BUY,M30,EMAOrder,STOP,E200>E50>E20>E100,75,75,0,0,0.000000,0.000000
BUY,M30,EMAOrder,STOP,E20>E100>E200>E50,75,75,0,1,1.333333,1.333333
BUY,M30,EMAOrder,STOP,E20>E100>E50>E200,75,75,0,0,0.000000,0.000000
BUY,M30,EMAOrder,STOP,E20>E200>E100>E50,75,75,0,2,2.666667,2.666667
BUY,M30,EMAOrder,STOP,E20>E200>E50>E100,75,75,0,2,2.666667,2.666667
BUY,M30,EMAOrder,STOP,E20>E50>E100>E200,75,75,0,28,37.333333,37.333333
BUY,M30,EMAOrder,STOP,E20>E50>E200>E100,75,75,0,1,1.333333,1.333333
BUY,M30,EMAOrder,STOP,E50>E100>E200>E20,75,75,0,1,1.333333,1.333333
BUY,M30,EMAOrder,STOP,E50>E100>E20>E200,75,75,0,2,2.666667,2.666667
BUY,M30,EMAOrder,STOP,E50>E200>E100>E20,75,75,0,0,0.000000,0.000000
BUY,M30,EMAOrder,STOP,E50>E20>E100>E200,75,75,0,6,8.000000,8.000000
BUY,M30,EMAOrder,STOP,E50>E20>E200>E100,75,75,0,0,0.000000,0.000000
BUY,M30,EMAOrder,STOP,[MISSING],75,75,0,0,0.000000,
BUY,M30,EMAOrder,NON-STOP,E100>E200>E20>E50,3538,3534,4,3,0.084794,0.084890
