RunID,SetupID,PositionID,Step1FillTime,MaxStep,ReachedStep2,ReachedStep3,ReachedStep4,ReachedStep5,HitTP1,HitTP2,HitTP3,HitEMA200,Step2Time,Step3Time,Step4Time,Step5Time,TP1Time,TP2Time,TP3Time,EMA200Time,CloseTime,FinalEvent,EventPath,FinalProfit,MFEMoney,MAEMoney,MaxDDMoney,MaxDDPct,IsFinalized,IsCensored,CensorReason,IsExternalClose
RX_1388707200_XAUUSD,20,76,2014.01.22 00:54:01,2,1,0,0,0,0,1,0,1,2014.01.22 01:03:32,,,,,2014.01.22 02:09:13,,2014.01.22 00:54:01,2014.01.22 03:41:19,EMA->TP2,EMA->TP2,2.13,2.13,5.07,5.39,0.001078,1,0,,0
RX_1388707200_XAUUSD,21,80,2014.01.22 05:23:07,3,1,1,0,0,0,0,1,1,2014.01.22 05:44:08,2014.01.22 06:10:44,,,,,2014.01.22 07:45:15,2014.01.22 05:30:20,2014.01.22 07:46:32,EMA->TP3,EMA->TP3,2.02,2.02,13.88,14.34,0.002868,1,0,,0
RX_1388707200_XAUUSD,22,86,2014.01.22 07:50:01,1,0,0,0,0,1,0,0,1,,,,,2014.01.22 07:57:56,,,2014.01.22 07:50:50,2014.01.22 08:54:30,EMA->TP1,EMA->TP1,2.00,2.00,0.40,2.39,0.000478,1,0,,0
RX_1388707200_XAUUSD,23,88,2014.01.22 10:56:06,3,1,1,0,0,0,1,1,1,2014.01.22 11:13:05,2014.01.22 12:46:35,,,,2014.01.22 12:10:49,2014.01.22 12:58:42,2014.01.22 11:06:32,2014.01.22 13:03:02,EMA->TP2->TP3,EMA->TP2->TP3,2.02,2.02,13.84,13.88,0.002776,1,0,,0
RX_1388707200_XAUUSD,24,94,2014.01.22 16:19:00,1,0,0,0,0,1,0,0,1,,,,,2014.01.22 16:42:07,,,2014.01.22 16:37:57,2014.01.22 20:25:23,EMA->TP1,EMA->TP1,2.04,2.04,0.52,1.45,0.000290,1,0,,0
RX_1388707200_XAUUSD,25,96,2014.01.22 20:47:01,3,1,1,0,0,0,0,1,1,2014.01.22 20:52:21,2014.01.23 00:07:13,,,,,2014.01.23 06:45:32,2014.01.23 02:44:05,2014.01.23 07:00:01,EMA->TP3,EMA->TP3,4.34,4.34,32.79,33.36,0.006671,1,0,,0
RX_1388707200_XAUUSD,26,102,2014.01.24 07:13:00,2,1,0,0,0,0,1,0,1,2014.01.24 07:58:27,,,,,2014.01.24 08:31:21,,2014.01.24 07:13:39,2014.01.24 08:31:21,EMA->TP2,EMA->TP2,2.00,2.00,4.57,5.68,0.001136,1,0,,0
RX_1388707200_XAUUSD,27,106,2014.01.27 06:41:02,2,1,0,0,0,0,1,0,1,2014.01.27 07:01:12,,,,,2014.01.27 08:19:22,,2014.01.27 08:18:56,2014.01.27 08:19:28,EMA->TP2,EMA->TP2,2.18,2.18,8.26,9.18,0.001836,1,0,,0
RX_1388707200_XAUUSD,28,110,2014.01.28 02:18:04,1,0,0,0,0,1,0,0,1,,,,,2014.01.28 02:18:55,,,2014.01.28 02:19:20,2014.01.28 02:20:09,TP1->EMA->TP1,TP1->EMA,2.03,2.03,0.21,0.21,0.000042,1,0,,0
RX_1388707200_XAUUSD,29,112,2014.01.28 07:48:03,3,1,1,0,0,0,0,1,1,2014.01.28 08:25:36,2014.01.28 10:29:06,,,,,2014.01.28 11:13:29,2014.01.28 08:09:39,2014.01.28 11:13:29,EMA->TP3,EMA->TP3,3.57,3.57,12.21,13.64,0.002728,1,0,,0
RX_1388707200_XAUUSD,30,118,2014.01.28 21:23:00,2,1,0,0,0,0,1,0,0,2014.01.28 21:40:10,,,,,2014.01.28 23:00:33,,,2014.01.28 23:01:26,TP2,TP2,2.19,2.19,6.48,6.48,0.001296,1,0,,0
RX_1388707200_XAUUSD,31,122,2014.01.29 23:48:10,5,1,1,1,1,0,1,0,1,2014.01.30 00:06:13,2014.01.30 01:16:25,2014.01.30 03:14:31,2014.01.30 07:24:28,,2014.01.30 00:31:17,,2014.01.29 23:48:10,2014.01.30 13:30:10,EMA->TP2->SL$,EMA->TP2,-315.03,0.00,291.34,291.34,0.058258,1,0,,0
RX_1388707200_XAUUSD,32,132,2014.01.30 20:35:00,2,1,0,0,0,0,1,0,1,2014.01.30 20:56:08,,,,,2014.01.30 21:22:48,,2014.01.30 21:23:25,2014.01.30 21:23:26,TP2->EMA->TP2,TP2->EMA,2.04,2.04,2.65,2.65,0.000530,1,0,,0
RX_1388707200_XAUUSD,33,136,2014.01.31 07:09:00,2,1,0,0,0,1,1,0,1,2014.01.31 07:39:35,,,,2014.01.31 07:21:41,2014.01.31 07:49:08,,2014.01.31 07:09:00,2014.01.31 07:51:10,EMA->TP1->TP2,EMA->TP1->TP2,2.29,2.29,3.56,5.02,0.001004,1,0,,0
