Event;SetupID;StepFrom;StepTo;T_decision;DecisionServerTime;FeatureShift;BarOpenTime_Shift1;BarCloseTime_Shift1;ATR_Shift1;ATRPct_Shift1;ADX_Shift1;DIPlus_Shift1;DIMinus_Shift1;PriceRef_Shift1;strict_before_check;C2M2_Decision;LatchStatus;Direction;Mode;Rule;SourceCommit;SpecVersion;Build
C2M2_DECISION;191;3;4;2014.08.08 01:01:17;2014.08.08 01:01:17;1;2014.08.08 01:00:00;2014.08.08 01:01:00;0.38;0.028794;27.6275;15.4118;27.8228;1310.17;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;193;3;4;2014.08.08 12:30:57;2014.08.08 12:30:57;1;2014.08.08 12:29:00;2014.08.08 12:30:00;0.85;0.064901;30.2075;11.2402;23.6736;1311.22;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;194;3;4;2014.08.11 00:09:38;2014.08.11 00:09:38;1;2014.08.11 00:08:00;2014.08.11 00:09:00;0.39;0.029931;55.8016;5.9693;23.8339;1308.85;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;197;3;4;2014.08.15 12:24:49;2014.08.15 12:24:49;1;2014.08.15 12:23:00;2014.08.15 12:24:00;0.99;0.076105;46.9518;15.3283;25.9744;1304.12;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;206;3;4;2014.08.21 04:38:33;2014.08.21 04:38:33;1;2014.08.21 04:37:00;2014.08.21 04:38:00;0.11;0.008839;22.0746;10.4179;16.1426;1286.91;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;215;3;4;2014.09.01 07:56:55;2014.09.01 07:56:55;1;2014.09.01 07:55:00;2014.09.01 07:56:00;0.16;0.012294;41.8192;24.8042;9.2197;1289.23;true;ALLOW;FIRST;SELL;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;218;3;4;2014.09.02 14:15:31;2014.09.02 14:15:31;1;2014.09.02 14:14:00;2014.09.02 14:15:00;0.46;0.036648;57.2063;4.0404;27.4185;1266.08;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;239;3;4;2014.09.19 01:05:27;2014.09.19 01:05:27;1;2014.09.19 01:04:00;2014.09.19 01:05:00;0.24;0.019431;32.9535;33.8729;24.9736;1223.55;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;249;3;4;2014.09.30 10:46:41;2014.09.30 10:46:41;1;2014.09.30 10:45:00;2014.09.30 10:46:00;0.38;0.031089;43.6952;7.7451;39.7566;1208.64;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;253;3;4;2014.10.03 06:51:13;2014.10.03 06:51:13;1;2014.10.03 06:50:00;2014.10.03 06:51:00;0.37;0.030405;29.9895;13.6816;49.8539;1209.49;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;255;3;4;2014.10.05 22:13:57;2014.10.05 22:13:57;1;2014.10.05 22:12:00;2014.10.05 22:13:00;0.50;0.042562;64.0262;3.0400;31.9982;1185.92;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;269;3;4;2014.10.14 22:21:11;2014.10.14 22:21:11;1;2014.10.14 22:20:00;2014.10.14 22:21:00;0.55;0.044806;41.5616;9.5264;57.5454;1229.74;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;270;3;4;2014.10.16 00:15:50;2014.10.16 00:15:50;1;2014.10.16 00:14:00;2014.10.16 00:15:00;0.36;0.029389;37.0531;11.9474;37.8965;1238.57;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;274;3;4;2014.10.22 08:03:06;2014.10.22 08:03:06;1;2014.10.22 08:02:00;2014.10.22 08:03:00;0.52;0.041373;47.5625;6.6300;36.2730;1247.20;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;275;3;4;2014.10.23 09:58:32;2014.10.23 09:58:32;1;2014.10.23 09:57:00;2014.10.23 09:58:00;0.26;0.020639;29.4123;19.9460;23.7226;1239.14;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
C2M2_DECISION;278;3;4;2014.10.31 02:01:54;2014.10.31 02:01:54;1;2014.10.31 02:00:00;2014.10.31 02:01:00;0.56;0.046839;41.9180;13.4752;38.2503;1199.32;true;ALLOW;FIRST;BUY;2;M2;061a1bb47c5bc7768f66cc9dec291d5c5e8b7135;C2_M2_IMPLEMENTATION_REPAIR_SPEC_V1;C2M2_REPAIR_V1
