sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,ALL,H4,EMA200_DIST_ATR,9480,0.967516,0.901212,-2.678751,4.806827,-33.675090,23.536023
ALL,BUY,M1,RSI,7218,37.867130,36.990898,27.883945,48.062385,3.982160,89.823996
ALL,BUY,M1,ADX,7218,32.293603,29.878099,23.007129,39.437783,9.852506,89.058620
ALL,BUY,M1,CCI,7218,-62.435036,-63.154082,-178.305985,62.730665,-466.666667,466.471357
ALL,BUY,M1,DI_PLUS,7218,15.213090,14.340652,9.781511,19.613091,0.632639,55.825725
ALL,BUY,M1,DI_MINUS,7218,26.177631,24.455201,17.195664,34.648121,0.844357,65.253018
ALL,BUY,M1,DI_GAP,7218,15.437844,12.649254,4.942446,24.737635,0.005074,58.532849
ALL,BUY,M1,ATR,7218,0.742909,0.419875,0.245750,0.786375,0.020750,20.077500
ALL,BUY,M1,ATR_PCT_PRICE,7218,0.033968,0.025170,0.015934,0.040732,0.001635,0.424861
ALL,BUY,M1,EMA200_DIST_POINTS,7218,361.017291,188.409041,85.715142,392.764331,0.019144,14063.641144
ALL,BUY,M1,EMA200_DIST_ATR,7218,-4.055108,-4.164784,-6.774767,-1.321477,-53.209614,36.389538
ALL,BUY,M5,RSI,7218,38.278992,37.695341,30.511217,45.671094,5.435312,80.839422
ALL,BUY,M5,ADX,7218,32.945285,30.832145,23.741642,40.299148,8.736896,85.277864
ALL,BUY,M5,CCI,7218,-121.371544,-120.525335,-169.525414,-78.532674,-466.666667,437.513607
ALL,BUY,M5,DI_PLUS,7218,11.599425,10.936948,7.970356,14.537421,0.838946,38.671574
ALL,BUY,M5,DI_MINUS,7218,26.717003,26.623812,21.379234,31.922062,2.539130,54.930700
ALL,BUY,M5,DI_GAP,7218,16.054137,15.767120,8.810778,22.520057,0.000576,50.541625
ALL,BUY,M5,ATR,7218,1.614021,0.968625,0.588750,1.707312,0.095750,40.461000
ALL,BUY,M5,ATR_PCT_PRICE,7218,0.073812,0.057507,0.039013,0.088942,0.006766,0.838916
ALL,BUY,M5,EMA200_DIST_POINTS,7218,656.458772,356.736276,157.300188,727.002995,0.148117,29877.625254
ALL,BUY,M5,EMA200_DIST_ATR,7218,-1.425383,-1.856606,-4.762459,1.618046,-54.339991,51.638209
ALL,BUY,M15,RSI,7214,42.262455,42.216809,34.099467,50.138750,7.383082,83.351678
ALL,BUY,M15,ADX,7214,30.301569,27.986770,22.101637,36.005876,9.519466,88.802332
ALL,BUY,M15,CCI,7214,-100.321330,-113.512092,-165.198636,-32.142220,-466.666667,371.378305
ALL,BUY,M15,DI_PLUS,7214,13.152076,12.549186,9.172416,16.658074,0.523014,38.208274
ALL,BUY,M15,DI_MINUS,7214,24.520310,24.481701,19.175333,29.702202,1.117575,53.668770
ALL,BUY,M15,DI_GAP,7214,13.471233,12.466475,6.204578,19.492960,0.000067,47.698488
ALL,BUY,M15,ATR,7214,2.658897,1.620000,1.012063,2.874250,0.189750,72.907500
ALL,BUY,M15,ATR_PCT_PRICE,7214,0.122105,0.097239,0.067588,0.147059,0.014916,1.765338
ALL,BUY,M15,EMA200_DIST_POINTS,7214,1113.892621,638.587923,283.345007,1272.639548,0.003584,46096.915336
ALL,BUY,M15,EMA200_DIST_ATR,7214,-0.346876,-0.739482,-4.279415,3.242887,-43.662902,50.689819
ALL,BUY,M30,RSI,7210,44.854501,44.747932,36.750783,52.736671,6.150629,84.255953
ALL,BUY,M30,ADX,7210,29.803025,27.167970,21.385948,35.916456,9.060608,88.928684
ALL,BUY,M30,CCI,7210,-72.859452,-81.526293,-148.732944,11.988967,-465.912683,395.678942
ALL,BUY,M30,DI_PLUS,7210,14.582633,14.081910,10.114319,18.390999,0.994415,41.774133
ALL,BUY,M30,DI_MINUS,7210,22.267548,22.052070,16.715365,27.573384,0.939926,50.810502
ALL,BUY,M30,DI_GAP,7210,11.859967,10.524471,5.082831,17.156553,0.004616,46.249483
ALL,BUY,M30,ATR,7210,3.718522,2.300875,1.447125,4.030687,0.337250,83.926750
ALL,BUY,M30,ATR_PCT_PRICE,7210,0.171023,0.139121,0.098186,0.207080,0.026588,2.032152
ALL,BUY,M30,EMA200_DIST_POINTS,7210,1618.355332,961.135237,425.262644,1842.782880,0.191241,59490.243776
ALL,BUY,M30,EMA200_DIST_ATR,7210,0.043271,-0.115876,-4.030924,3.945145,-32.898006,39.846463
ALL,BUY,H1,RSI,7201,46.992710,46.722607,38.641457,55.231151,8.332642,88.217262
ALL,BUY,H1,ADX,7201,29.694335,27.518629,21.350458,35.407825,9.046572,86.962608
ALL,BUY,H1,CCI,7201,-44.367010,-47.495337,-122.949216,44.094183,-456.711993,370.926804
ALL,BUY,H1,DI_PLUS,7201,15.881526,15.175504,11.129347,19.840349,1.480411,44.711289
ALL,BUY,H1,DI_MINUS,7201,20.105352,19.680308,14.502328,25.255825,0.797203,50.758862
ALL,BUY,H1,DI_GAP,7201,10.995643,9.548992,4.373339,16.077258,0.002920,44.582425
ALL,BUY,H1,ATR,7201,5.301105,3.321750,2.120000,5.651500,0.486500,102.780750
ALL,BUY,H1,ATR_PCT_PRICE,7201,0.243258,0.200522,0.142165,0.293971,0.038584,2.719031
ALL,BUY,H1,EMA200_DIST_POINTS,7201,2330.201502,1425.421391,635.101546,2665.440686,0.117430,73020.813117
ALL,BUY,H1,EMA200_DIST_ATR,7201,0.298123,0.360315,-3.855493,4.479927,-29.594933,28.089176
ALL,BUY,H4,RSI,7150,49.511816,49.530781,40.569685,58.537085,10.416686,92.544762
ALL,BUY,H4,ADX,7150,30.833800,28.355310,21.795197,37.211358,8.408214,83.878545
ALL,BUY,H4,CCI,7150,-7.771114,-4.489295,-88.173831,73.516863,-440.069959,337.026131
ALL,BUY,H4,DI_PLUS,7150,17.833584,17.140753,12.453976,22.569475,1.872096,56.664731
ALL,BUY,H4,DI_MINUS,7150,17.933255,17.376987,12.382835,22.776406,1.143058,50.113185
ALL,BUY,H4,DI_GAP,7150,10.883113,9.295200,4.373006,15.798280,0.003882,50.389069
ALL,BUY,H4,ATR,7150,10.320115,6.576875,4.323250,10.622875,1.117000,233.702750
ALL,BUY,H4,ATR_PCT_PRICE,7150,0.467184,0.398470,0.292074,0.550897,0.086940,4.565576
ALL,BUY,H4,EMA200_DIST_POINTS,7150,4540.328310,2671.642956,1246.548270,5214.083612,0.692111,83851.475473
ALL,BUY,H4,EMA200_DIST_ATR,7150,0.873688,0.829983,-3.129634,5.079068,-33.675090,22.255066
